#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
183,IPDC,17.8,17.9,17.7,0,17.7,0.1,14,0.257,"14,456"
184,ISLAMIBANK,43.4,43.8,43.4,0,43.4,0,52,1.021,"23,475"
185,ISLAMICFIN,10.9,11,10.8,0,10.8,0.1,42,0.643,"59,106"
186,ISLAMIINS,37.5,40,37.1,0,36.9,0.6,5,0.058,"1,514"
187,ISNLTD,43,44,42.6,0,42.6,0.4,57,1.105,"25,548"
188,ITC,37.3,37.4,37.2,0,37.2,0.1,24,0.593,"15,894"
189,JAMUNABANK,19.3,19.5,19.3,0,19.3,0,15,0.552,"28,618"
190,JAMUNAOIL,175,175,174.5,0,175.2,-0.2,31,1.281,"7,323"
191,JANATAINS,25,25,24.5,0,24.6,0.4,21,0.623,"24,991"
192,JHRML,51.5,51.8,51.1,0,51.2,0.3,13,0.118,"2,284"
193,JMISMDL,133,133,131.2,0,132.1,0.9,26,0.29,"2,194"
194,JUTESPINN,214.4,214.4,214.4,0,212.6,1.8,16,0.133,620
195,KARNAPHULI,27.3,27.5,27.3,0,27.1,0.2,59,1.435,"52,216"
196,KAY&QUE,191.3,195,191,0,190.8,0.5,22,0.102,531
197,KBPPWBIL,170.3,172,165.9,0,164.9,5.4,"1,500",85.181,"501,980"
198,KDSALTD,42.3,42.7,42,0,42,0.3,137,4.281,"100,849"
199,KEYACOSMET,4.8,4.9,4.8,0,4.8,0,16,0.567,"115,696"
200,KOHINOOR,520.2,523.8,518.2,0,520.7,-0.5,69,1.535,"2,951"
201,KPCL,13.7,13.8,13.7,0,13.6,0.1,22,0.302,"22,006"
202,KPPL,27,27.4,25.6,0,25.5,1.5,"1,204",26.8,"1,012,698"
203,KTL,12.5,12.7,12.4,0,12.5,0,90,3.546,"282,571"
204,LANKABAFIN,17.2,17.4,17.2,0,17.2,0,57,1.964,"113,624"
205,LEGACYFOOT,63.2,63.5,61.4,0,61,2.2,690,15.387,"245,508"
206,LHB,49.2,49.8,49,0,49.3,-0.1,88,2.389,"48,653"
207,LIBRAINFU,803.3,804,802.7,0,801.4,1.9,15,0.086,107
208,LINDEBD,"1,141","1,144","1,120",0,"1,114.8",26.2,"1,290",41,"36,154"
209,LOVELLO,84.3,84.5,83.4,0,83.1,1.2,800,31.215,"370,867"
